season,team,wins,losses,net_rank,seed,region
2017,Duke,41.0,14.0,6,2,
2017,East Tennessee St.,0.0,3.0,55,13,
2017,Florida,25.0,10.0,10,4,
2017,Florida Gulf Coast,2.0,3.0,85,14,
2017,Florida St.,11.0,8.0,14,3,
2017,Gonzaga,35.0,17.0,8,1,
2017,Iona,0.0,7.0,88,14,
2017,Iowa St.,12.0,11.0,21,5,
2017,Jacksonville St.,0.0,2.0,151,15,
2017,Kansas,41.0,15.0,3,1,
2017,Kansas St.,12.0,10.0,57,11,
2017,Kent St.,0.0,3.0,142,14,
2017,Kentucky,34.0,13.0,4,2,
2017,Louisville,22.0,10.0,7,2,
2017,Marquette,12.0,12.0,61,10,
2017,Maryland,10.0,9.0,34,6,
2017,Miami FL,12.0,7.0,42,8,
2017,Michigan,26.0,12.0,25,7,
2017,Michigan St.,35.0,16.0,50,9,
2017,Middle Tennessee,2.0,2.0,35,12,
2017,Minnesota,2.0,5.0,20,5,
2017,Mount St. Mary's,0.0,3.0,150,16,
